City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
208,Longyearbyen,SJ,78.2186,15.6401,35.44,93,75,4.61,broken clouds
209,Nuradilovo,RU,43.2845,46.4576,66.09,57,28,3.11,scattered clouds
210,Kulhudhuffushi,MV,6.6221,73.07,79.47,82,100,18.1,overcast clouds
211,San Policarpo,PH,12.1791,125.5072,81.81,81,79,10.29,broken clouds
212,Maymyo,MM,22.0333,96.4667,65.17,98,100,2.82,overcast clouds
213,Kirakira,SB,-10.4544,161.9205,83.55,70,38,5.84,scattered clouds
214,Danjiangkou,CN,32.5428,111.5086,75.97,61,40,4.36,scattered clouds
215,Talnakh,RU,69.4865,88.3972,27.21,97,100,4.94,light snow
216,The Valley,AI,18.217,-63.0578,84.34,84,20,9.22,few clouds
217,Tongling,CN,30.95,117.7833,78.87,67,3,4.7,clear sky
218,Terryville,US,40.909,-73.0651,60.78,92,100,15.01,overcast clouds
219,Salinopolis,BR,-0.6136,-47.3561,80.08,81,85,11.16,overcast clouds
220,Darnah,LY,32.767,22.6367,85.06,45,0,4.47,clear sky
221,Xichang,CN,27.8964,102.2634,61.99,93,6,1.23,clear sky
222,Kangaatsiaq,GL,68.3065,-53.4641,34.59,73,54,2.64,broken clouds
223,Chuy,UY,-33.6971,-53.4616,55.04,86,41,6.31,scattered clouds
224,Assiniboia,CA,49.6334,-105.9845,58.82,58,100,12.66,overcast clouds
225,Jibuti,DJ,11.5,42.5,81.64,61,26,9.4,scattered clouds
226,Kankon,IN,15.0167,74.0167,76.8,90,84,4.07,broken clouds
227,Benghazi,LY,32.1167,20.0667,87.24,43,0,5.39,clear sky
228,Freeport,US,40.6576,-73.5832,61.97,87,100,17.27,mist
229,Hernani,ES,43.2662,-1.9762,60.85,87,0,3.44,clear sky
230,Kaura Namoda,NG,12.5898,6.5779,79.81,69,78,6.71,broken clouds
231,Rongcheng,CN,30.634,117.8517,77.79,73,2,3.58,clear sky
232,Bairiki,KI,1.3292,172.9752,84.2,74,75,10.36,broken clouds
233,Bardiyah,LY,31.7561,25.0865,81.3,55,0,2.08,clear sky
234,Mocuba,MZ,-16.8392,36.9856,68.86,86,0,2.55,clear sky
235,Huarmey,PE,-10.0681,-78.1522,65.48,78,21,10.49,few clouds
236,Arlit,NE,18.7369,7.3853,93.56,26,91,1.7,overcast clouds
237,Tabou,CI,4.423,-7.3528,75.69,91,84,8.55,light rain
238,Vostok,RU,46.4856,135.8833,41.59,93,65,3.98,broken clouds
239,Olafsvik,IS,64.8945,-23.7142,47.03,88,100,11.3,overcast clouds
240,Olinda,BR,-8.0089,-34.8553,78.53,69,40,10.36,scattered clouds
241,Yinchuan,CN,38.4681,106.2731,68.4,61,44,3.09,scattered clouds
242,Cravo Norte,CO,6.3017,-70.2041,82.26,75,69,1.99,light rain
243,Valparaiso,CL,-33.0393,-71.6273,60.01,90,100,5.75,mist
244,Tecalitlan,MX,19.4667,-103.3,73.04,85,99,3.33,overcast clouds
245,Avarua,CK,-21.2078,-159.775,77.05,44,100,6.91,overcast clouds
246,Lagoa,PT,39.05,-27.9833,71.42,85,87,21.61,overcast clouds
247,Hovd,MN,48.0056,91.6419,20.59,44,78,4.38,broken clouds
248,Uvalde,US,29.3669,-99.767,88.32,33,0,3.44,clear sky
249,Faanui,PF,-16.4833,-151.75,78.33,67,44,10.04,scattered clouds
250,Chilca,PE,-12.5211,-76.7372,62.29,84,80,10.83,broken clouds
251,Dingle,PH,10.9995,122.6711,76.26,92,55,6.31,heavy intensity rain
252,Altoona,US,40.5187,-78.3947,53.85,91,100,1.01,overcast clouds
253,San Quintin,MX,30.4833,-115.95,71.42,66,0,12.46,clear sky
254,Waipawa,NZ,-41.4122,175.5153,47.5,97,100,13.0,overcast clouds
255,Harper,LR,4.375,-7.7169,76.23,89,98,9.91,light rain
256,Kismayo,SO,-0.3582,42.5454,75.88,82,87,14.99,overcast clouds
257,Giyani,ZA,-23.3025,30.7187,76.26,29,0,2.26,clear sky
258,Heyang,CN,26.1011,107.473,67.78,97,96,4.29,overcast clouds
259,Faya,SA,18.3851,42.4509,62.71,58,2,1.28,clear sky
260,Cidreira,BR,-30.1811,-50.2056,60.98,84,48,9.64,scattered clouds
261,Rio Gallegos,AR,-51.6226,-69.2181,53.65,22,0,13.8,clear sky
